"1","錢總留給準備好的人","5"
"2","撒哈拉的故事","1"
"3","Word Perfect","10"
"4","不可思議的紙飛機","2"
"5","我倆不是朋友","1"
"6","鱗之盡","1"
"7","倉鼠的輕鬆飼養竅門","3"
"8","9星期摘5**袐笈（地理）","25"
"9","勇氣 Do-it-now Project","1"
"10","McGintys Friend","7"
"11","Visual basic 2012","23"
"12","寫給年輕人的簡明世界皮","8"
"13","Sketching drawing techniques for product designers","2"
"14","getting 5* in 9 weeks chemistry 4th edition","17"
"29","Mathematics in Action Second Edition 2A","11"
"32","Maths m1 joint-us","11"
"34","Economics study guide","21"
"35","Mathematics in action","11"
"37","文體寫作指導","9"
"39","西潮 蔣夢麟回憶錄","1"
"40","金魚街的人魚公主","1"
"44","中國歷代政治得失","14"
"45","亂世佳人 Gone with the wind","1"
"48","Marketing An Introduction (Twelfth Edition)","22"
"52","烹飪書 蛋糕","3"
"53","新編基礎生物學 2","18"
"54","新編基礎生物學","18"
"55","美味湯料理","3"
"56","啟思中國语文 中三下第四版","9"
"57","最美麗的意外","1"
"58","New treasure plus 3a","10"
"61","The Jigaree","7"
"63","Mrs Wishy-Washys Tub","7"
"65","To  Town ","7"
"67","The Hungry Giant","7"
"68","Bears, bears Everywhere ","7"
"70","Mathematics in Action Second Edition 2B","11"
"71","Wheres Your Tooth? ","7"
"72","啟思中國語文 第四版 中二上","9"
"73","啟思中國語文 第四版 中二下","9"
"74","選修單元七 新聞與報道 （第二版）","9"
"75","啟思中國語文 工作紙 中二","9"
"76","選修單元五 倫理道德觀","9"
"77","NSS Physics At Work E4 - Medical Physics","16"
"78","NSS Physics At Work E3 - Energy and Use of Energy","16"
"79","NSS Physics At Work 3B - Wave Motion II","16"
"80","NSS Physics At Work 3A - Wave Motion I","16"
"84","Physics Worked Examples &amp; Graded Exercise for HKDSE 1","16"
"85","Mathematics 
Compulsory Part","11"
"86","Physics Worked Examples &amp; Graded Exercise for HKDSE 2 ","16"
"87","Physics Multiple Choice Questions for HKDSE 1","16"
"88","Physics Multiple Choice Questions for HKDSE 2","16"
"89","Mathematics
Module 2","11"
"90","設計與應用科技 卷二戊練習","29"
"92","野蠻侏羅紀","1"
"97","Inferno 地獄 ","1"
"98","許個願吧!大喜1-2 漫畫","4"
"99","生活普通話 中一","9"
"102","戀愛漫畫特別課","4"
"104","NSS Pearson BAFS - Financial management","22"
"107","美少女人物描繪方法","4"
"108","RPG人物描繪方法","4"
"109","HKDSE CHEMISTRY A Modern View 7
Analytical Chemistry","17"
"110","峰青夕陽紅-陶傑","1"
"111","知日部屋","1"
"112","PEN AND INK","4"
"113","紅水晶蝦&amp;其他淡水蝦特輯","8"
"114","我要畫漫畫","4"
"115","素描技法解析","2"
"116","NSS MATHEMATICS in Action
Module 1 Calculus and Statistics","11"
"117","動態素描人 體結構","2"
"119","煮食書兩本","3"
"121","觀賞天體小百科","8"
"124","熱帶淡水魚圖鑑","8"
"126","水草造景書兩本","8"
"127","高中教科書*4","13"
"128","A Tale of Two Cities","1"
"129","高中教科書(中文)*4","9"
"130","高中教科書(文學)","13"
"131","高中教科書(文學)2","13"
"132","繪畫希望的翅膀","1"
"133","精靈高中","1"
"134","打工偵探","1"
"135","歡迎光臨陰陽屋","1"
"136","北野坂偵探社","1"
"137","拍賣美麗","1"
"138","如果我在東京不快樂","1"
"139","五乙的天空","1"
"140","高中教科書(宗教)*2","31"
"141","高中教科書(中史)選修單元*2","14"
"143","高中教科書(通識)","12"
"144","高中教科書(中文)選修單元*3","9"
"145","Aristo Chemistry Book 1A","17"
"147","Aristo Chemistry Book 1B","17"
"148","Aristo Chemistry Book 1C","17"
"149","Aristo Chemistry Book 2","17"
"150","Aristo Chemistry Book 3A","17"
"151","Aristo Chemistry Book 3B","17"
"152","Aristo Chemistry Book 4A","17"
"153","Aristo Chemistry Book 4B","17"
"154","Aristo Chemistry Book 5","17"
"155","Aristo Chemistry Book 7","17"
"157","ARISTO BIOLOGY chapter 1-3","18"
"158","Longman Elect New Senior Secondary","10"
"160","Iceland 冰與火的國度","3"
"161","新高中中國語文新編一至四冊","9"
"163","New Progress in Senior Mathematics part4-6","11"
"164","新標準高中通識教育 2013更新版","12"
"165","New Senior Secondary Exploring Economics book 1-6","21"
"166","數學2014 Dse Joint-us","11"
"167","化學DSE+CE答案 joint us 2014版","17"
"168","New Century Mathematics 6S","11"
"169","New Century Mathematics 4B","11"
"170","HKDSE BIOLOGY a modern approach Aristo","18"
"171","New Century Mathematics 4A","11"
"172","New Century Mathematics 6","11"
"173","Physics solution","16"
"174","來生不做中國人","6"
"175","爆肝工程師的異世界狂想曲1","4"
"176","Cat and Dog at School","7"
"177","Cinderella Dressed in Yellow ","7"
"178","Whats in my Pocket? ","7"
"179","Mr. Noisys Helpers","7"
"180","Mastering Grammar","10"
"181","惡魔與天使的感情角力","4"
"182","Aptitude test exercise ","8"
"184","音樂探索3第二版","26"
"186","生死營救- 白色救護誌","1"
"187","黑色救護誌","1"
"188","東尼電機 Vol.1","4"
"189","我的投資哲學","5"
"190","末日之戰 War World Z","1"
"195","DSE Chemistry DSE, CE, AL Solution (Join Us) 
","17"
"196","大學物理入門書","16"
"197","中共秘密","6"
"198","在天堂遇見的五個人","1"
"199","三月的騎士 4","1"
"200","KAGEROU DAZE 陽炎眩亂 3","4"
"201","上鎖的房間","1"
"202","讀新聞學通識2 ","12"
"203","讀新聞學通識1","12"
"204","高中通識新天地 現代中國","12"
"205","伴我成長路之一 上帝與我 修訂版","12"
"206","中國寓言的智慧","9"
"207","理財有道 新世代理財指南！","21"
"208","愛似忌廉溝鮮奶","8"
"209","情人眼裏超低B之7年之癢","8"
"210","Life in Ancient Greece西史書（連workbook）","27"
"211","New Era Music 音樂書 Book1","26"
"213","Chemistry Joint-us solution","17"
"214","New School Atlas for Hong Kong
新編世界地圖集","25"
"215","初中互動地理 爭奪能源
核心單元第6冊","25"
"216","一冊通曉ｰ圖解藝術","2"
"217","高中通識新天地
能源科技與環境","12"
"218","高中通識新天地
今日香港","12"
"219","高中通識新天地５
公共衛生","12"
"220","New 21st Century Chemistry 3A
","17"
"221","New 21st Century Chemistry 3B","17"
"222","New 21st Century Chemistry","17"
"223","New 21st Cenrury Chemistry 4A","17"
"224","New 21st Century Chemistry 4B","17"
"225","Steve job","6"
"226","The da vinvi","1"
"227","那夜凌晨，我坐上了旺角開往大埔的紅van","1"
"228","Longman The New Method English Dictionary","10"
"229","活在地上
如同活在天上","1"
"230","死亡9分鐘","1"
"231","Time English-English English-Chinese Dictionary Box set","10"
"232","Nanny Diaries","1"
"233","The Secre Diary of Adrian Mole aged 13 3/4","1"
"234","Season of the Machete","1"
"235","The X Files: Whirlwind","1"
"236","David Copperfield","1"
"237","The Underground Man","1"
"238","Developing skills paper 4 speaking set B(with Cd)","10"
"239","514童黨殺人事件","6"
"240","新聞與報道(選修單元五)","9"
"241","新聞經濟試題(連答案)","21"
"242","名人怪談","1"
"243","Economics 會考Dse MCQ+Questions (by topic)","21"
"244","黑色大丽花","1"
"245","HKDSE ECONOMICS EXAM EXPRESS","21"
"246","文言集yylam","9"
"247","別動我的初戀 1","1"
"248","親愛的公主 妳是值得被珍惜的！","1"
"249","遇見你之前 me before you","1"
"250","好想談戀愛","1"
"251","問題兒童來自異世界 ? 乙 1","4"
"252","約會大作戰 烏托邦凜禰 完全攻略畫集","4"
"253","讀者文摘","8"
"254","New economics and you 1 - 5","21"
"255","Biology a modern approach","18"
"256","穿衣改變你的人生","3"
"257","灼眼琉璃夏1&amp;灼眼琉璃夏2","1"
"258","A Pocket English - Chinese Dictionary ","7"
"259","新高中英中理科舊版書
","10"
"260","海賊王驚點語錄-海賊王教我的50件事 ","3"
"261","有些事現在不做...1-4(簡體版)","3"
"262","無窮奶奶的富足人生","6"
"263","你的體質，這樣吃...","3"
"264","百吻巴黎上，下","3"
"265","我為什麼打老婆(簡體版)","6"
"266","Longman Exam Series Maths MC","11"
"267","A second course in Statistics: Regression analysis","8"
"268","冥想的力量(簡體版)","3"
"269","《安靜，就是力量》","6"
"270","Filians HKDSE Chemistry Book 2","17"
"271","Takka Biology Exercise for HKDSE Book1-4","18"
"272","Paddington Here and Now","7"
"273","Takka Biology Exercise for HKDSE Book 4","18"
"275","Takka Biology Multiple Choice for HKDSE Book 1-3","18"
"276","HKDSE Basic Principles in Biology Book 1-4","18"
"277","HKDSE Basic Principles in Biology Book2 ","18"
"278","The five people you meet in Heaven","1"
"280","《古漢語常用字字典》（第4版）","1"
"281","盜墓筆記1","4"
"282","盜墓筆記2","4"
"283","小丑丹尼1、2","4"
"284","《老子章句解讀》","1"
"285","我的腐女友1和2
","4"
"286","漢英大詞典(第3版)","35"
"287","英漢大詞典(第2版) ","35"
"288","徐志摩全集","1"
"289","世界歷史懸案","8"
"290","寂寞的十七歲","1"
"291","The will to survive 
A history of Hungary ","1"
"292","Cafe Bach 濾紙式手沖咖啡萃取技術","3"
"293","咆哮山莊","1"
"294","New Century Mathematics 6s","11"
"295","Fundamentals of Corporate Finance ","5"
"296","不失敗！懶人園藝法","3"
"298","圖說女子防狼自保手冊","3"
"299","不怯場說話術","5"
"300","簡單種！樂活玩！陽台香草花園","3"
"301","Keep Calm and Bake Cake","3"
"302","3D繪圖與電路板設計 DesignSpark系軟體指南","39"
"303","初中 中三 課室中文練習","9"
"304","Chemistry supplement exercise Mc and LQ","17"
"305","A tune a day for flute","26"
"306","心理學","6"
"307","你不能不知的通識議題","12"
"308","English reading comprehension exercise","41"
"309","馬燕日記","3"
"310","窮山區 富學生","6"
"311","中國成語故事選輯 (上)","9"
"312","The big mistake and other stories","10"
"313","數學ex","11"
"314","Biology supplement exercise","18"
"315","《童眼看世界》","7"
"317","《孟子智慧》","1"
"319","明報 2017通識全攻略 &amp; 十三五生涯規劃","12"
"320","HKDSE Pre-university English Paper2 Writing","10"
"321","HKDSE Eng Perfect Writing 2 作文好字好句好天書2","10"
"322","Handy Guide for HKDSE English (Full Paper)","10"
"323","DSE+CE+AL Physics Suggested Solution","16"
"324","DSE+CE+AL Chemistry Suggested Solution","17"
"325","DSE+CE+AL Biology Suggested Solution","18"
"326","DSE+CE+AL Biology Suggested Solution","18"
